,Message,Spam_Status,num_words,message_len,num_uppercase_chars,num_uppercase_words,contains_free_or_win
1554,yeah tote u wanna,ham,7,31,2,0,0
1555,ok found di pierr cardin one look normal cost sale,ham,15,73,1,0,0
1556,good sleep rhythm person establish rhythm bodi learn use want know,ham,25,127,3,0,0
1557,wat r u,ham,4,14,1,0,0
1558,messag truro hospit ext phone phone side,ham,22,97,6,0,0
1559,singl line big mean miss anyth ur best life,ham,13,73,4,0,0
1560,got ga money chanc gang want go grand natur adventur,ham,19,92,1,0,0
1561,dnt worri use ice piec cloth pack also take tablet,ham,13,63,1,0,0
1562,dude saw park car sunroof pop sux,ham,12,58,2,0,0
1563,get readi put excel sub face,ham,9,46,1,0,0
1564,tmrw im finish door,ham,5,26,2,0,0
1565,lt gt g saw day ago guy want sell wifi lt gt g lt gt blank,ham,32,143,2,0,0
1566,late,ham,8,29,2,0,0
1567,whatev im pretti piss,ham,5,31,0,0,0
1568,today accept day u accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,ham,25,156,26,2,0
1569,dont much imag class,ham,8,37,1,0,0
1570,got rumour go buy apart chennai,ham,12,63,1,0,0
1571,near kalainar tv offic thenampet,ham,5,33,1,0,0
1572,ur cash balanc current pound maxim ur cash send go p msg cc hg suit land row w j hl,spam,27,145,14,3,0
1573,sm auction brand new nokia auction today auction free join take part txt nokia hg suit land row w j hl,spam,29,149,40,7,1
1574,si catch e show e afternoon watch w c u wan watch today tmr lor,ham,26,104,2,0,0
1575,sound gd haha wah u yan jiu fast liao,ham,11,58,4,0,0
1576,nosi guess idk react freak,ham,15,62,6,0,0
1577,rememb hurt day satan impost need pay price may destini keep go u said pray get mind get,ham,41,184,1,0,0
1578,make girl happi difficult make girl happi u need friend companion lover chef lt gt good listen lt gt organ lt gt good boyfriend lt gt clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga venaam,ham,91,611,28,0,0
1579,princess bet brotha chase,ham,12,61,2,0,0
1580,shall book chez jule half eight ok,ham,14,62,1,0,0
1581,hhahhaahahah rofl wtf nig leonardo room someth,ham,11,64,1,0,0
1582,yep derek hou see sunday lt,ham,11,47,2,0,0
1583,cool let know kick around lt gt day,ham,21,92,2,0,0
1584,sorri call later,ham,5,22,2,0,0
1585,wonder would okay call uncl john let know thing nigeria r lt gt dollar year sent know strain plan pay back everi dime give everi dime expect anyth practic someth like,ham,70,338,4,0,0
1586,charg transfer charg withdraw anyhow like,ham,15,86,1,0,0
1587,dont search love let love find u call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,ham,32,159,13,1,0
1588,let go bill miller,ham,8,30,2,0,0
1589,love set soul fire spark flame big rawr flame xoxo,ham,25,105,7,0,0
1590,somewhr someon sure made u god decid perfect time make u meet dat person till den enjoy ur crush,ham,25,148,4,0,0
1591,honeymoon outfit,ham,5,30,1,0,0
1592,help propo go back tomorrow,ham,10,52,1,0,0
1593,privat account statement show un redeem point call identifi code expir,spam,23,136,17,1,0
1594,never blame day ur life good day give u happi bad day give u experi essenti life god bless good morn,ham,28,152,6,0,0
1595,pl confirm time collect chequ,ham,8,43,1,0,0
1596,regist subscrib yr draw gift voucher b enter receipt correct next olymp txt,spam,30,146,5,0,0
1597,urgent mobil number award prize guarant call land line claim valid hr ppm,spam,24,144,21,2,0
1598,daddi take good care,ham,7,35,1,0,0
1599,yeah probabl still gotta check leo,ham,9,47,2,0,0
1600,k special,ham,5,25,1,0,0
1601,carlo take sweet time usual let know patti done want smoke tell haul ass,ham,29,127,2,0,0
1602,ok pa noth problem,ham,4,25,2,0,0
1603,heard job go wildlif talk tonight u want come worzel wizzl whatev,ham,27,143,3,0,0
1604,god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid friend u,ham,20,128,17,3,0
1605,came hostel,ham,5,24,1,0,0
1606,ok prob come lunch,ham,9,43,2,0,0
1607,ju tell u dat b leav shanghai st instead haf time meet cya,ham,23,99,1,0,0
1608,freez home yet rememb kiss mom morn love think miss yet,ham,31,152,6,0,1
1609,readi big day tomorrow,ham,7,37,1,0,0
1610,probabl around mu lot,ham,8,32,1,0,0
1611,,ham,1,3,0,0,0
1612,rt king pro video club need help info ringtonek co uk call must club credit redeem www ringtonek co uk enjoy,spam,27,153,11,1,0
1613,thnx dude u guy nite,ham,6,28,1,0,0
1614,sef dey laugh meanwhil darl anji,ham,11,55,2,0,0
1615,mm food da,ham,8,28,1,0,0
1616,k make sen btw carlo difficult guy gonna smoke go pick second batch get ga,ham,25,121,2,0,0
1617,u download fring app,ham,6,29,1,0,0
1618,oz guy kinda flaki one friend interest pick lt gt worth tonight possibl,ham,22,115,1,0,0
1619,friend u stay fb chat,ham,9,39,1,0,0
1620,fuck babe miss sooooo much wish sleep bed lone go sleep dream love,ham,32,154,6,0,0
1621,live simpl love also simpl laugh simpl win tooo simpl simpl difficult gud nte,ham,24,148,12,1,1
1622,u secret admir look make contact u find r reveal think ur special call,spam,27,132,5,1,0
1623,ah well confu thing,ham,9,44,2,0,0
1624,free text msg text ok credit account,spam,15,71,1,0,1
1625,hi dear call urgnt know problem want work problem least tell wate repli,ham,34,156,6,0,0
1626,dear ok,ham,6,25,2,0,0
1627,select stay top british hotel noth holiday worth claim call london bx sw ss,spam,27,147,23,2,0
1628,ye princess want make happi,ham,8,41,2,0,0
1629,sound like mani talent would like go dinner date next week,ham,17,83,1,0,0
1630,go film day da pm sorri da,ham,11,45,3,0,0
1631,watch movi alreadi xy want shop shop w,ham,16,73,2,0,0
1632,hello littl parti anim thought buzz friend grin remind love send naughti ador kiss,ham,29,158,4,0,0
1633,yesterday go home,ham,9,47,2,0,0
1634,eeri nokia tone u rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight www getz co uk pobox w wq p,spam,26,161,66,9,0
1635,come life brought sun shini warm heart put constant smile face make feel love care,ham,31,159,4,0,0
1636,shit surpri went spent even french guy met town fool around bit let fuck,ham,38,165,5,0,0
1637,network allow compani bill sm respon supplier,spam,15,91,12,2,0
1638,great comedi cant stop laugh da,ham,6,37,1,0,0
1639,freemsg feelin kinda lnli hope u like keep compani jst got cam mobi wanna c pic txt repli date msg p rcv hlp stop,spam,33,160,11,1,1
1640,alright set text man,ham,9,41,1,0,0
1641,hi keen go kind feel go tomo mind,ham,35,136,2,0,0
1642,sleep nt feel well,ham,4,24,1,0,0
1643,u switch fone dammit,ham,7,35,27,6,0
1644,india take lead,ham,5,25,1,0,0
1645,post l r class,ham,8,31,2,0,0
1646,tht wat wright brother fli,ham,7,36,3,0,0
1647,even v good somewhat event laden fill worri head ok throat wreck see six,ham,26,132,5,0,0
1648,u laugh realli loud u talk spontan u dont care feel u probabl dear amp best friend goodeven dear,ham,27,156,16,1,0
1649,laptop take,ham,7,30,23,6,0
1650,dont file bag work call tell find anyth room,ham,29,118,1,0,0
1651,wan earli lei outsid wun b home earli neva mind,ham,17,82,3,0,0
1652,ur chanc win cash everi wk txt action c www movietrivia tv custcar x p wk,spam,26,123,12,2,1
1653,bugi juz wat walk home oredi late repli oso saw top dat like din buy r,ham,34,147,7,0,0
1654,wish famili merri x happi new year advanc,ham,14,75,12,2,0
1655,go ok na,ham,7,22,1,0,0
1656,ye post coupl pic fb still snow outsid wake,ham,20,90,4,0,0
1657,one good partnership go take lead,ham,12,61,1,0,0
1658,rgent nd attempt contact u u call b csbcm wc n xx callcost ppm mobilesvari max,spam,26,148,25,3,0
1659,yeah class,ham,6,28,1,0,0
1660,send bec templ na,ham,10,42,2,0,0
1661,come home class right need work shower,ham,15,75,2,0,0
1662,hi ur lookin sauci daytim fun wiv busti marri woman free next week chat sort time janinexx call minmobsmorelkpobox hp fl,spam,27,160,22,0,1
1663,mostli like,ham,6,27,1,0,0
1664,v fan,ham,4,14,2,0,0
1665,dunno co v late n reach insid alreadi ate spageddi lor e gal r laugh lor,ham,28,129,3,0,0
1666,guess spent last night phase fourth dimen,ham,14,73,1,0,0
1667,dad gonna call get work ask crazi question,ham,19,88,1,0,0
1668,ye said,ham,6,27,3,1,0
1669,hurt n mean line ever compromi everyth love,ham,12,75,2,0,0
1670,lmao nice,ham,3,11,1,0,0
1671,glad see repli,ham,5,23,1,0,0
1672,urgent tri contact u today draw show prize guarant call land line claim valid hr,spam,29,158,23,2,0
1673,monthli password wap mobsi com use wap phone pc,spam,14,73,4,1,0
1674,nah dub je still buff,ham,6,25,1,0,0
1675,pain word thought happi toughest thing earth,ham,14,81,5,0,0
1676,yeah fine get ok,ham,14,51,2,0,0
1677,lol u come idea,ham,9,40,1,0,0
1678,mani peopl seem special first sight remain special till last sight maintain till life end sh ja,ham,30,156,4,0,0
1679,today song dedic day song u dedic send ur valuabl frnd first rpli,ham,23,124,3,0,0
1680,okay wait ah,ham,4,18,2,0,0
1681,lei,ham,2,6,1,0,0
1682,hi babe u r like bed im sorri tonight realli wanna see u tomorrow call love xxx,ham,30,126,94,25,0
1683,alreadi squat new way walk,ham,9,46,1,0,0
1684,want bold bb torch,ham,8,30,1,0,0
1685,cramp stop go back sleep,ham,6,35,2,0,0
1686,today vodafon number end last four digit select receiv award number match plea call claim award,spam,31,174,1,0,0
1687,free top rington sub weekli rington get st week free send subpoli per week stop sm,spam,21,114,9,1,1
1688,nan sonathaya soladha boss,ham,5,32,2,0,0
1689,bring tat cd forget,ham,5,23,1,0,0
1690,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,spam,28,126,14,2,1
1691,know rape dude poker,ham,11,42,2,0,0
1692,weightloss girl friend make load money ebay someth give thank god,ham,18,99,5,0,0
1693,gr see messag r u leav congrat dear school wat r ur plan,ham,20,96,4,0,0
1694,eatin later eatin wif fren lei go home first,ham,16,74,4,0,0
1695,finish alreadi yar keep say mushi embarrass ok,ham,12,72,3,0,0
1696,sorri man stash ran dri last night pick sunday,ham,17,76,2,0,0
1697,hai priya right doctor said pa,ham,12,60,3,0,0
1698,free msg sorri servic order could deliv suffici credit plea top receiv servic,spam,27,148,3,0,1
1699,ok,ham,1,5,1,0,0
1700,plea ask mummi call father,ham,6,31,1,0,0
1701,come room cannot come hou co hou still messi haha,ham,15,77,2,0,0
1702,lost kilo today,ham,8,33,1,0,0
1703,tast fish curri p,ham,5,25,2,0,0
1704,might accid tookplac somewh ghodbandar rd traffic move slove plz slip amp worri,ham,21,126,4,0,0
1705,yun ah wkg btw go nu sc wana speciali wad,ham,17,71,5,0,0
1706,ye one woman man plea tell like dislik bed,ham,16,75,3,0,0
1707,test earlier appreci call tomorrow,ham,12,68,3,0,0
1708,loverboy keep come queen hmmm ach speak miss despar,ham,29,144,5,0,0
1709,u meet fren dun wan meet ah muz b guy rite,ham,14,59,2,0,0
1710,promi though even gotten dinner yet,ham,11,60,1,0,0
1711,got back dislik bed,ham,11,49,2,0,0
1712,turn stereo love mi phone unknown album,ham,14,66,0,0,0
1713,hard live chat p min choo girl connect live call cheap chat uk biggest live servic vu bcm wc n xx,spam,25,145,25,4,0
1714,yeah see,ham,7,24,2,0,0
1715,ask u knw nt may ur frnd classmat,ham,13,58,2,0,0
1716,sorri earlier put fire around talk actual life lol,ham,21,107,4,0,0
1717,wow boy r back take uk tour win vip ticket pre book vip club txt club trackmarqu ltd info vipclub u,spam,26,138,34,7,1
1718,missionari hook doggi hook stand,ham,9,53,1,0,0
1719,u better go sleep dun disturb u liao u wake msg lor,ham,16,73,3,0,0
1720,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose,ham,33,149,1,0,1
1721,watch hou entertain get whole hugh lauri thing even stick ind especi stick,ham,25,144,9,0,0
1722,thought prap meant anoth one goodo look tomorrow,ham,11,63,3,0,0
1723,hi jon pete ive bin spain recent hav sum dinero left bill said u ur rent mayb interest hav pe around tb jame,ham,33,159,9,0,0
1724,bold lt gt,ham,8,39,2,0,0
1725,know shall speak lt gt minut,ham,14,67,2,0,0
1726,alrit hunni wot u nite didnt end goin town ju da pub instead ju chillin da mo bedroom love jen xxx,ham,28,131,95,25,0
1727,went project centr,ham,5,24,1,0,0
1728,per request maangalyam alaipayuth set callertun caller press copi friend callertun,ham,22,136,6,0,0
1729,lol yeah point guess,ham,8,34,2,0,0
1730,project w fren lor,ham,5,27,1,0,0
1731,lol well qualiti aint bad aint complain,ham,11,55,2,0,0
1732,k happen tonight,ham,5,27,1,0,0
1733,hi mandi sullivan call hotmix fm chosen receiv easter prize draw plea telephon claim prize transfer someon el,spam,40,224,14,2,0
1734,think go finn come,ham,10,39,1,0,0
1735,tire special,ham,7,36,1,0,0
1736,come tomorrow di,ham,5,23,1,0,0
1737,cant pick phone right pl send messag,ham,11,51,2,0,0
1738,k go sleep well take rest,ham,7,34,2,0,0
1739,u guy never invit anywh,ham,6,34,1,0,0
1740,ur go bahama callfreefon speak live oper claim either bahama crui cash opt txt x,spam,29,159,30,4,1
1741,want plea insid outsid bedroom,ham,15,74,2,0,0
1742,ey calm downon theacu itxt u co iwana know wotu r doin thew end haventcn u age ring ur neth sat love j xxx,ham,29,146,105,24,0
1743,love wine dine ladi,ham,8,32,1,0,1
1744,someon conact date servic enter phone fanci find call landlin pobox n tf,spam,25,155,4,0,0
1745,cool ta luv v tire cau doin load plan wk got social servic inspect nurseri take care spk sn x,ham,33,160,3,0,0
1746,know account detail ask mom send mom reach,ham,20,86,1,0,0
1747,think u wrong number,ham,7,32,1,0,0
1748,feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,ham,29,166,27,0,0
1749,b late love mum,ham,6,22,17,5,0
1750,got mail panren paru,ham,5,26,1,0,0
1751,think chuckin ur red green n black trainner save carryin bac train,ham,17,92,1,0,0
1752,give one miss number plea,ham,7,37,1,0,0
1753,ju came back fr lunch wif si u leh,ham,11,46,2,0,0
1754,schedul next week town weekend,ham,13,62,2,0,0
1755,realli good dhanush rock,ham,6,39,1,0,0
1756,lmao ok wont need u hair anymor,ham,12,50,2,0,0
1757,miss ya need ya want ya love ya,ham,8,35,1,0,0
1758,sorri free,ham,5,21,1,0,1
1759,u ever get song stuck head reason go away til u listen like time,ham,27,107,1,0,0
1760,nt yet chikku simpl habba hw abt u,ham,8,38,1,0,0
1761,got ur mail dileep thank muchand look forward lot support less contact rememb one venugop mention tomorrow late shall tri come till goodnight dear,ham,37,205,2,0,0
1762,sometim heart remembr someon much forget someon soon bcoz heart like everyon like one rememb everytim bslvyl,ham,23,158,16,1,0
1763,joy father john john name joy father mandan,ham,15,67,10,1,0
1764,hi ibh custom loyalti offer new nokia mobil txtauction txt word start get,spam,26,143,41,5,0
1765,hi yiju regard textbook intro algorithm second edit sell,ham,23,121,3,0,0
1766,sm auction nokia get win free auction take part send nokia hg suit land row w jhl,spam,33,162,28,4,1
1767,k want us come,ham,7,26,1,0,0
1768,littl difficult simpl way enter place,ham,14,68,2,0,0
1769,ha us e thing got tv watch u thk go tonight u alreadi haf smth mind,ham,29,123,4,0,0
1770,dont show far put new pictur facebook,ham,11,61,3,0,0
1771,watch tv got new job,ham,7,33,2,0,0
1772,good afternoon sexi bun goe job search wake first thought alway love wish fine happi know ador,ham,32,156,5,0,0
1773,come whatev want,ham,9,41,1,0,0
1774,ok chikku favourit song,ham,10,50,1,0,0
1775,u see post facebook,ham,9,41,3,0,0
1776,call freephon,spam,6,33,10,1,1
1777,buy space invad chanc win orig arcad game consol press game arcad std wap charg see co uk game term set purcha,spam,30,154,14,1,1
1778,wonder world th th ur style th ur smile th ur person rd ur natur nd ur sm st ur love friendship good morn dear,ham,30,153,20,2,0
1779,loan purpo homeown tenant welcom previou refu still help call free text back help,spam,29,164,7,0,1
1780,big brother alert comput select u k cash voucher call ntt po box cro bt landlin cost ppm mobil vari,spam,27,154,30,6,0
1781,oh well c u later,ham,5,22,0,0,0
1782,uncl atlanta wish guy great semest,ham,10,53,3,0,0
1783,dear free messag without recharg hi hi hi,ham,13,62,2,0,1
1784,dont search love let love find u call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,ham,32,159,13,1,0
1785,dun believ u thk u told,ham,9,34,2,0,0
1786,know god creat gap finger one made come amp fill gap hold hand love,ham,29,151,7,1,0
1787,ye sura sun tv lol,ham,6,26,1,0,0
1788,arun u transfr amt,ham,7,27,1,0,0
1789,takin shower yeah leav done,ham,13,52,3,0,0
1790,work eye philosophi text u later bit free chat,ham,22,100,1,0,1
1791,u lost ill alway b u intend hurt u never knew u felt iwa marin itri tell urmom careabout u,ham,34,164,6,0,0
1792,win winner mr foley ipod excit prize soon keep eye ur mobil visit www win co uk,spam,29,132,9,1,1
1793,bad girl still rememb,ham,8,39,2,0,0
1794,much gave morn,ham,7,32,2,0,0
1795,hope alright babe worri might felt bit despar learn job fake wait come back love,ham,33,158,3,0,0
1796,hey tell blake address carlo want meet got lost answer phone,ham,26,120,3,0,0
1797,get opinion someth first,ham,8,42,1,0,0
1798,one week leav put know time,ham,10,46,2,0,0
1799,hit move,ham,11,44,1,0,0
1800,excel spent lt gt year air forc iraq afghanistan stabl honest like travel,ham,22,123,5,0,0
1801,wanna watch movi,ham,5,24,1,0,0
1802,ok lor thanx school,ham,6,29,3,0,0
1803,class get text,ham,9,34,2,0,0
1804,bu leav lt gt,ham,6,29,1,0,0
1805,god bless get good sleep dear pray,ham,10,47,1,0,0
1806,today voda number end select receiv award match plea call quot claim code standard rate app,spam,27,156,3,0,0
1807,nice day today love dearli,ham,11,47,2,0,0
1808,aiyo bit pai seh noe scare dun rem die hee becom better lookin oredi leh,ham,24,115,5,0,0
1809,aight ask roommat,ham,9,37,2,0,0
1810,hou beer,ham,12,64,2,0,0
1811,wan meet n combin part da rest da project go,ham,20,83,3,0,0
1812,get ticket walsal tue th march mate get sat ill pay treat want go txt bak terri,ham,26,124,5,0,0
1813,ye chat,ham,5,24,1,0,0
1814,hi jess dont know work call u im home eve xxx,ham,23,89,66,21,0
1815,sian aft meet supervisor got work liao u work,ham,12,67,3,0,0
1816,go write ccna exam week,ham,9,44,1,0,0
1817,well watch shrek b,ham,8,33,3,0,0
1818,much dirti fellow,ham,6,28,1,0,0
1819,dunno dat wat told ok lor,ham,9,37,2,0,0
1820,probabl tomorrow even later tonight someth go,ham,15,76,1,0,0
1821,say die man feel sad go want know would probabl gone late night,ham,37,150,5,0,0
1822,think lift one,ham,10,45,1,0,0
1823,u dun wan u dun like alreadi ah wat u still eat,ham,18,84,5,0,0
1824,sent ur email id soon,ham,6,24,1,0,0
1825,wat make peopl dearer de happi dat u feel u meet de pain u feel u miss dem,ham,26,119,1,0,0
1826,dude teresa hope okay didnt hear peopl call receiv packag sinc dec lt gt thot ld like know fantast year best read plu realli realli bam first aid usml work done,ham,66,332,11,0,0
1827,hey gorgeou man work mobil number good one babe squishi mwah,ham,15,80,5,0,0
1828,may call later pl,ham,6,24,3,0,0
1829,hottest pic straight phone see get wet want xx text pic txt cost p textop g ga xxx,spam,28,151,11,1,0
1830,way stay oh,ham,8,34,1,0,0
1831,hello thanx take call got job start monday,ham,13,65,3,0,0
1832,time ur flight tmr,ham,6,27,1,0,0
1833,come,ham,5,24,2,0,0
1834,rather promin bite mark right cheek,ham,11,53,1,0,0
1835,septemb,ham,5,28,1,0,0
1836,wet right,ham,5,22,1,0,0
1837,husband,ham,5,23,1,0,0
1838,hack chat get backdoor entri chat room fraction cost repli neo call subscrib p pm dp bcm box ldn wc n xx,spam,30,161,12,1,0
1839,norm tomorrow finish co st test need sort librari stuff point tomo got letter today access til end march better get move,ham,40,191,3,0,0
1840,yeah got list u joanna feel realli anti social,ham,17,75,4,0,0
1841,offic na,ham,6,23,1,0,0
1842,comingdown later,ham,4,29,1,0,0
1843,super da good replac murali,ham,6,37,1,0,0
1844,da good good player unsold,ham,9,40,1,0,0
1845,hi u want join st later meet five call u class,ham,18,93,4,0,0
1846,engalnd telli decid let watch mia elliot kiss damn,ham,23,107,3,0,0
1847,free nokia motorola upto mth price liner free x net min txt mth free b tooth call mobileupd call optout wv,spam,28,158,25,4,1
1848,dont want hear philosophi say happen,ham,10,52,2,0,0
1849,got job wipro get everi thing life year,ham,17,71,1,0,0
1850,cant get da laptop matric card wif lei,ham,11,54,3,0,0
1851,dunno da next show aft toa payoh got,ham,12,51,2,0,0
1852,nd time tri contact u u pound prize claim easi call p per min bt nation rate,spam,32,154,9,2,0
1853,made payment dont much sorri would want fedex way,ham,20,98,3,0,0
1854,play one day last year know even though good team like india,ham,18,89,2,0,0
1855,k girl wait recept ah,ham,10,50,1,0,0
1856,say slowli god love amp need clean heart blood send ten special peopl amp u c miracl tomorrow pl pl,ham,34,163,47,11,0
1857,hate turn fun shop trip annoy day everyth would look hou,ham,27,135,2,0,0
1858,sir wait call,ham,7,32,1,0,0
1859,want come onlin,ham,10,41,2,0,0
1860,could work reach consensu next meet,ham,12,58,1,0,0
1861,aiyah wait lor u entertain hee,ham,10,50,3,0,0
1862,last thing ever want hurt think would laugh embarass delet tag keep go far knew even fact even felt like would hurt show realli know messi wednesday bad problem time clean choo skype take pictur sleep want go mind thing make bed throw laundri top friend hou embarass underwear bra strewn bed pillow floor someth el use good least make bed,ham,173,790,14,1,0
1863,let know kick,ham,9,34,1,0,0
1864,call ok said call,ham,9,35,1,0,0
1865,call number avail appoint ask connect call wahe fathima,ham,18,100,2,0,0
1866,go buy wif meet later,ham,12,46,3,0,0
1867,mmmm fuck fair know weak grin push knee expo belli pull head forget know wick smile,ham,33,183,6,0,0
1868,today system sh get readi well also deep well,ham,17,71,1,0,0
1869,mom want know,ham,7,30,1,0,0
1870,aight text back,ham,9,34,3,0,0
1871,dont know support ass srt thnk think ps play usb,ham,16,75,2,0,0
1872,oh ok didnt know meant yep babi jontin,ham,13,55,2,0,0
1873,guarant cash prize claim yr prize call custom servic repr,spam,23,117,5,1,0
1874,would like see xxx pic hot nearli ban uk,spam,19,84,4,1,0
1875,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com,spam,29,155,26,5,0
1876,watch tv got new job,ham,7,33,2,0,0
1877,pen thing beyond joke wont biro master ever,ham,23,97,4,0,0
1878,parti alex nichol,ham,8,33,26,6,0
1879,u secret admir look make contact u find r reveal think ur special call,spam,27,132,5,1,0
1880,see miss call dear brother gr day,ham,13,64,2,0,0
1881,ok finish soon,ham,4,23,3,0,0
1882,sorri help,ham,8,32,2,0,0
1883,come slave go shell unconsci avoid make unhappi,ham,21,128,4,0,0
1884,love ass enjoy doggi style,ham,9,45,2,0,0
1885,think ask gym excu lazi peopl jog,ham,14,62,2,0,0
1886,dear xxxxxxx u invit xchat final attempt contact u txt chat p msgrcvdhg suit land row w j hl ldn yr,spam,28,155,26,3,0
1887,urgent plea call landlin abta complimentari tenerif holiday cash await collect sae cs box cw wx ppm,spam,25,153,19,2,0
1888,way home long dri spell season would,ham,19,85,3,0,0
1889,gotta collect da car lei,ham,8,32,1,0,0
1890,ok knacker came home went sleep good full time work lark,ham,18,89,3,0,0
1891,probabl earlier station think,ham,13,63,2,0,0
1892,call listen extrem dirti live chat go offic right total privaci one know sic listen p min mp,spam,28,163,99,22,0
1893,good morn plz call sir,ham,6,28,2,0,0
1894,freemsg hey u got video pic fone repli wild txt ill send u pic hurri im bore work xxx p rcvd stop stop,spam,34,156,14,1,1
1895,uh head much left,ham,10,41,5,1,0
1896,tot u outsid co darren say u come shop cour nice wat ju went sim lim look mp player,ham,24,110,3,0,0
1897,aight sound good want come,ham,11,53,2,0,0
1898,wat would u like ur birthday,ham,7,31,1,0,0
1899,love work home,ham,5,27,1,0,0
1900,miss vday parachut doubl coin u must know well,ham,15,79,2,0,0
1901,sorri call later,ham,5,22,2,0,0
1902,sister got place birla soft da,ham,8,40,1,0,0
1903,free entri weekli comp chanc win ipod txt pod get entri std txt rate c appli detail,spam,32,143,7,1,1
1904,wah oki oki muz make use e unlimit haha,ham,10,59,4,0,0
1905,peopl mu tabl lambda,ham,13,54,2,0,0
1906,stop old man get build snowman snow angel snowbal fight,ham,16,84,2,0,0
1907,ello babe u ok,ham,4,15,11,3,0
1908,hello beauti r u ok kinda ad row wiv walk pub want night wiv u miss u,ham,26,106,4,0,0
1909,u go ikea str aft dat,ham,7,30,1,0,0
1910,becoz lt gt jan whn al post ofic holiday cn go fr post ofic got duffer,ham,24,108,1,0,0
1911,lol grr mom take forev prescript pharmaci like minut away ugh,ham,17,92,3,0,0
1912,real tho suck even cook whole electr hungri,ham,19,87,4,0,0
1913,want go,ham,4,16,1,0,0
1914,new textbuddi chat horni guy ur area p free receiv search postcod gaytextbuddi com txt one name rpl stop cnl,spam,31,158,20,3,1
1915,time month mid time,ham,12,51,1,0,0
1916,fffff text kadeem far gone,ham,11,50,2,0,0
1917,leav yet ok lor go elsewh n eat u thk,ham,14,63,3,0,0
1918,fujitsu seri lifebook good,ham,6,34,1,0,0
1919,yar want scold u yest late alreadi got zhong se qing u ask b ask go w u lor n u still act real,ham,41,160,4,0,0
1920,dont know bring food,ham,6,29,1,0,0
1921,current food alon also,ham,9,41,2,0,0
1922,sch fr dun haf da book sch home,ham,19,68,3,0,0
1923,hello go villag pub either come accordingli ok,ham,18,91,3,0,0
1924,ok,ham,1,2,1,0,0
1925,call like lt gt time oh give us hyperten oh,ham,13,66,2,0,0
1926,dont give monkey wot think certainli mind friend mine sleep wiv wud annoyin,ham,28,135,3,0,0
1927,omg could snow tonit,ham,6,30,1,0,0
1928,call tell u call claim prize u enter ur mobil person detail prompt care,spam,25,145,3,0,0
1929,free st week entri textpod chanc win gb ipod cash everi wk txt vpod ts cs www textpod net custcar,spam,30,142,18,2,1
1930,carri disturb,ham,7,35,1,0,0
1931,pa tell went bath,ham,8,35,2,0,0
1932,ju finish avatar nigro,ham,4,25,1,0,0
1933,r u scratch,ham,5,23,1,0,0
1934,hope great day,ham,7,32,1,0,0
1935,either idea know anyplac someth,ham,15,76,2,0,0
1936,plan usual stop find hella weed,ham,8,45,1,0,0
1937,fact clean show know upset prioriti constantli want,ham,22,106,2,0,0
1938,excel readi moan scream ecstasi,ham,10,55,2,0,0
1939,peopl dog area call join like mind guy arrang even minapn ls bb,spam,30,160,12,0,0
1940,dude avatar imp one point thought actual fli room almost tri hittng one reflex,ham,25,124,2,0,0
1941,well done costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min,spam,27,162,29,3,0
1942,k k cant come search job,ham,10,46,1,0,0
1943,got lousi sleep kept wake everi hour see cat want come worri cold,ham,27,120,3,0,0
1944,yeah leav coupl minut amp let know get mu,ham,17,72,3,0,0
1945,call make sure dat woken,ham,15,57,2,0,0
1946,hey go jazz power yoga hip hop kb yogasana,ham,12,54,1,0,0
1947,batteri mr adew uncl aka egbon,ham,10,49,3,0,0
1948,cant pick phone right pl send messag,ham,11,51,2,0,0
1949,wait min stand bu stop,ham,7,29,1,0,0
1950,oh ic thought meant mari jane,ham,8,37,2,0,0
1951,haha realli oh deduct lesson tmr,ham,12,67,4,0,0
1952,nah im goin wrk j wot bout u,ham,11,41,1,0,0
1953,eat shit wait ur monkey face bitch u asshol,ham,14,92,2,0,0
1954,good night go sleep,ham,6,30,2,0,0
1955,aight grab someth eat text back mu,ham,16,68,2,0,0
1956,k k cant come search job,ham,10,46,1,0,0
1957,take someth pain move howev side next hr see doctor,ham,18,87,2,0,0
1958,lol oh babe wont slide place midnight thank invit,ham,18,95,3,0,0
1959,howz person stori,ham,4,23,1,0,0
1960,guess somebodi know secretli fanci wanna find give us call landlin datebox essexcm xn p min,spam,26,156,15,0,0
1961,lol would awesom payback,ham,6,34,3,1,0
1962,free text messag valid decemb,spam,14,74,2,0,1
1963,ye complet form clark also utter wast,ham,11,59,1,0,0
